Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
10000000,585,Powai,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
46500000,1500,Powai,3,0,1,1,1,0,1,1,1,1,1,1,1,1,1
27000000,1100,Powai,2,0,1,1,1,0,1,0,1,1,1,0,0,1,1
14500000,800,Powai,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0
47000000,1500,Worli,3,1,1,1,0,0,0,1,1,1,0,0,1,0,1
37500000,1200,Worli,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1
26500000,1450,Powai,3,0,1,1,1,0,0,1,1,1,0,0,1,0,1
26900000,1505,Powai,3,0,1,1,0,0,0,1,1,1,0,0,1,0,1
16800000,975,Powai,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
17500000,978,Powai,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
16500000,1150,Powai,2,0,1,0,1,0,1,1,1,1,1,1,0,1,1
16500000,1150,Powai,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1
16000000,810,Powai,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
60000000,2365,Powai,4,0,1,1,1,0,1,1,1,1,1,1,1,1,1
16200000,1100,Powai,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
40000000,893,Worli,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1
16500000,1000,Powai,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
26800000,1502,Powai,3,0,1,1,1,0,0,1,1,1,0,0,1,0,1
27000000,1502,Powai,3,0,1,1,1,1,1,1,1,1,1,0,1,0,1
49500000,1092,Worli,3,0,1,1,0,0,0,1,1,1,0,0,1,0,1
4095000,710,Dombivali,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1
4500000,650,Dombivali,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1
4200000,600,Dombivali,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1
26900000,1545,Powai,3,0,1,1,1,1,1,1,1,1,0,1,1,1,1
17500000,910,Powai,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1
18500000,965,Powai,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
14000000,1050,Powai,2,0,1,1,1,0,1,1,1,1,0,0,1,1,1
2249000,510,Dombivali,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19400000,1150,Powai,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1
17400000,885,Powai,2,0,1,1,1,0,1,1,1,1,0,0,1,1,1
11399999,650,Powai,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1
28700000,1600,Powai,3,0,1,1,1,0,1,1,1,1,1,1,1,1,1
19500000,1120,Powai,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
13500000,500,Powai,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1
4100000,670,Dombivali,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
72500000,3700,Worli,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
6800000,1098,Dombivali,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1
8000000,1098,Dombivali,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1
18500000,1100,Powai,2,0,1,1,1,1,1,1,1,1,1,1,1,0,1
6300000,1131,Dombivali,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0
10500000,660,Powai,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
19500000,1150,Powai,2,0,0,1,0,0,0,1,1,1,0,0,1,0,0
45000000,2100,Powai,3,0,1,1,0,0,0,1,1,1,1,0,1,0,1
10500000,700,Powai,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5000000,225,Powai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4785000,870,Dombivali,2,1,1,1,0,0,1,1,0,0,1,1,0,1,1
3663000,666,Dombivali,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1
5555000,1010,Dombivali,3,1,1,1,0,0,1,1,0,0,1,1,0,1,1
21700000,651,Powai,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
33100000,928,Powai,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
21800000,642,Powai,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
25400000,735,Powai,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
25600000,788,Powai,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
37800000,1094,Powai,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
35100000,1020,Powai,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
32100000,928,Powai,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
26500000,772,Powai,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
54200000,1613,Powai,4,1,1,1,1,0,1,1,1,1,1,1,0,1,1
34600000,1023,Powai,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
33400000,997,Powai,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
22200000,645,Powai,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
27300000,733,Powai,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
27900000,744,Powai,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
36900000,970,Powai,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
16500000,950,Powai,2,0,1,1,1,0,1,1,1,1,0,1,1,1,1
17500000,1100,Powai,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1
19000000,1290,Powai,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1
18500000,970,Powai,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
21000000,1135,Powai,2,0,1,1,1,0,0,1,1,1,0,0,1,0,1
16800000,1135,Powai,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
5000000,750,Dombivali,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
22000000,885,Powai,2,0,1,1,1,0,1,1,1,1,0,0,1,1,1
15000000,630,Powai,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1
15500000,915,Powai,2,0,1,1,1,0,1,1,1,1,0,1,1,1,1
19000000,770,Powai,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1
20000000,1070,Powai,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1
21500000,1198,Powai,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1
12000000,600,Powai,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1
16000000,1150,Powai,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1
28500000,940,Powai,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1
27500000,1045,Powai,2,0,1,1,1,0,1,0,1,1,1,0,0,1,1
24000000,1444,Powai,3,0,1,1,1,0,1,1,1,1,1,1,1,1,1
13000000,600,Powai,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1
15000000,870,Powai,2,0,1,1,1,0,1,1,1,1,0,0,1,1,1
24000000,1350,Powai,3,0,1,1,1,0,1,1,1,1,1,1,1,1,1
28500000,1050,Powai,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
31500000,1750,Powai,3,0,1,1,1,0,1,1,1,1,0,0,1,1,1
26500000,1060,Powai,2,0,1,1,1,0,0,1,1,1,1,0,1,0,1
10000000,602,Powai,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1
18500000,1150,Powai,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1
19100000,1050,Powai,2,0,1,1,1,0,1,1,1,1,0,0,1,1,1
12500000,600,Powai,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1
14500000,900,Powai,2,0,1,1,1,0,0,1,1,1,0,0,1,0,1
18500000,1100,Powai,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
20000000,1250,Powai,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
29000000,1150,Powai,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
9800000,555,Powai,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
14200000,1100,Powai,2,0,1,1,0,0,1,1,1,1,0,0,1,1,1
18500000,1155,Powai,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1
10500000,585,Powai,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
20000000,1120,Powai,2,0,1,1,1,1,1,1,1,1,1,0,1,0,1
13500000,650,Powai,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
17500000,1000,Powai,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1
23500000,1300,Powai,3,0,1,1,0,0,0,1,1,1,0,0,1,0,1
20000000,1070,Powai,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
20000000,1000,Powai,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1
26000000,980,Powai,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1
22000000,985,Powai,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1
9500000,600,Powai,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
17000000,1000,Powai,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1
28500000,1150,Powai,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
21000000,1198,Powai,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1
14000000,1100,Powai,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1
27500000,916,Powai,2,0,1,1,1,1,1,1,1,1,0,1,1,1,1
